source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SCX-RPLC_TiO2_Replicate 1_Fraction 8.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_TiO2_Replicate 1_Fraction 8.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_TiO2_Replicate 1_Fraction 8.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 1_Fraction 8.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 2_Fraction 30.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_TiO2_Replicate 2_Fraction 30.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_TiO2_Replicate 2_Fraction 30.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 2_Fraction 30.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 1_Fraction 16.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_TiO2_Replicate 1_Fraction 16.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_TiO2_Replicate 1_Fraction 16.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 1_Fraction 16.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 1_Fraction 16.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_TiO2_Replicate 1_Fraction 16.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_TiO2_Replicate 1_Fraction 16.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 1_Fraction 16.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 2_Fraction 1.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_TiO2_Replicate 2_Fraction 1.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_TiO2_Replicate 2_Fraction 1.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 2_Fraction 1.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 2_Fraction 14.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_IMAC_Replicate 2_Fraction 14.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_IMAC_Replicate 2_Fraction 14.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 2_Fraction 14.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 1_Fraction 34.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_IMAC_Replicate 1_Fraction 34.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_IMAC_Replicate 1_Fraction 34.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 1_Fraction 34.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 2_Fraction 17.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_IMAC_Replicate 2_Fraction 17.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_IMAC_Replicate 2_Fraction 17.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 2_Fraction 17.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 2_Fraction 31.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_TiO2_Replicate 2_Fraction 31.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_TiO2_Replicate 2_Fraction 31.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 2_Fraction 31.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 2_Fraction 16.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_TiO2_Replicate 2_Fraction 16.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_TiO2_Replicate 2_Fraction 16.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 2_Fraction 16.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 2_Fraction 33.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_IMAC_Replicate 2_Fraction 33.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_IMAC_Replicate 2_Fraction 33.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 2_Fraction 33.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_IMAC_Replicate 1_Fraction 37.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_IMAC_Replicate 1_Fraction 37.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_IMAC_Replicate 1_Fraction 37.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_IMAC_Replicate 1_Fraction 37.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_TiO2_Replicate 2_Fraction 30.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_TiO2_Replicate 2_Fraction 30.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_TiO2_Replicate 2_Fraction 30.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_TiO2_Replicate 2_Fraction 30.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 1_Fraction 31.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_IMAC_Replicate 1_Fraction 31.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_IMAC_Replicate 1_Fraction 31.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 1_Fraction 31.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
SCX-RPLC_TiO2_Replicate 2_Fraction 31.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	SCX-RPLC_TiO2_Replicate 2_Fraction 31.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	SCX-RPLC_TiO2_Replicate 2_Fraction 31.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/SCX-RPLC_TiO2_Replicate 2_Fraction 31.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
mRP-RPLC_IMAC_Replicate 1_Fraction 5.pride	Homo sapiens	Epithelial cell	mda-mb-231	Breast cancer	phosphopeptide enrichment (TiO2)	1	mRP-RPLC_IMAC_Replicate 1_Fraction 5.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Waters instrument model;AC=MS:1000126	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	mRP-RPLC_IMAC_Replicate 1_Fraction 5.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000948/generated/mRP-RPLC_IMAC_Replicate 1_Fraction 5.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
