source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[compound]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
h2o2_3	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	3	run_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T1B3_200ng_ul_150118211731.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_4	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	4	run_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T2B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_5	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	5	run_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T2B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_6	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	6	run_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T2B3_200ng_ul_150119003528.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_7	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	7	run_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T3B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_8	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	8	run_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T3B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
h2o2_9	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	NT=hydrogen peroxide;AC=CHEBI:16240	h2o2	9	run_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	2	150113_Jess_H2O2_T3B3_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	h2o2
ctrl_1	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	1	run_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T1B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_2	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	2	run_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T1B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_3	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	3	run_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T1B3_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_4	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	4	run_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T2B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_5	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	5	run_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T2B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_6	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	6	run_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T2B3_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_7	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	7	run_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T3B1_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_8	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	8	run_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T3B2_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
ctrl_9	NT=Mycolicibacterium smegmatis;AC=NCBITaxon:1772	not available	not available	not available	not applicable	ctrl	9	run_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	15 ppm	1	3	150113_Jess_UT_T3B3_200ng_ul.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	ctrl
