source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
BacSU_wt_TiO2_rep2CID	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_TiO2_rep2CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_TiO2_rep2CID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_TiO2_rep2CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_deltaYwlE_iTRAQ_TiO2_rep3	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_deltaYwlE_iTRAQ_TiO2_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_wt_pervanadate_iTRAQ_TiO2_rep3	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_pervanadate_iTRAQ_TiO2_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_pervanadate_iTRAQ_TiO2_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_pervanadate_iTRAQ_TiO2_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionD	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionB	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionB	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionB.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionB.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionA	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionC	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUprotein_deltaYwlE_iTRAQ_SCX_ElutionC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_deltaYwlE_iTRAQ_TiO2_rep4	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_deltaYwlE_iTRAQ_TiO2_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_deltaYwlE_iTRAQ_TiO2_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSU_wt_TiO2_rep2ETD	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSU_wt_TiO2_rep2ETD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSU_wt_TiO2_rep2ETD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSU_wt_TiO2_rep2ETD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep3	Bacillus subtilis subsp. subtilis str. 168	not available	not applicable	not available	1	BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000273/BacSUdouble_deltaYwlEMcsB_TiO2_qEX_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
