source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
IL291211_405	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL291211_405	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL291211_405.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL291211_405.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL291211_399	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL291211_399	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL291211_399.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL291211_399.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_405_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_405_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_405_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_405_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_399_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_399_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_399_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_399_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_407_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_407_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_407_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_407_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_410_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_410_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_410_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_410_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL291211_393	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL291211_393	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL291211_393.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL291211_393.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_406	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_406	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_406.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_406.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_407	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_407	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_407.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_407.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_409	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_409	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_409.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_409.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_401	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_401	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_401.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_401.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_393_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_393_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_393_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_393_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_406_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_406_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_406_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_406_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IL100112_150min_395_2	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	IL100112_150min_395_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	IL100112_150min_395_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000421/IL100112_150min_395_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
