source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[treatment]	characteristics[phenotype]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[phenotype]	factor value[immunoprecipitation target]
PXD052174-Sample-11	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	54	3	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IGG_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IGG_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IGG_03.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	54	mouse IgG control
PXD052174-Sample-12	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	54	4	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IGG_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IGG_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IGG_04.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	54	mouse IgG control
PXD052174-Sample-13	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	54	1	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_01.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	54	SQSTM1/p62
PXD052174-Sample-14	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	54	2	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_02.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	54	SQSTM1/p62
PXD052174-Sample-15	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	54	3	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_03.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	54	SQSTM1/p62
PXD052174-Sample-16	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	54	4	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_54_DMSO_IP_04.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	54	SQSTM1/p62
PXD052174-Sample-17	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	1	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_01.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	mouse IgG control
PXD052174-Sample-18	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	2	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_02.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	mouse IgG control
PXD052174-Sample-19	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	3	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_03.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	mouse IgG control
PXD052174-Sample-20	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	4	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IGG_04.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	mouse IgG control
PXD052174-Sample-21	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	1	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_01.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	SQSTM1/p62
PXD052174-Sample-22	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	2	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_02.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	SQSTM1/p62
PXD052174-Sample-23	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	3	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_03.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	SQSTM1/p62
PXD052174-Sample-24	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	BafA1	WT	4	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_BafA1_IP_04.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	BafA1	WT	SQSTM1/p62
PXD052174-Sample-25	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	WT	1	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_01.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	WT	mouse IgG control
PXD052174-Sample-26	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	WT	2	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_02.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	WT	mouse IgG control
PXD052174-Sample-27	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	WT	3	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_03.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	WT	mouse IgG control
PXD052174-Sample-28	Homo sapiens	cell culture	HCT116	epithelial cell	colorectal cancer	DMSO	WT	4	immunoprecipitation	cell	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052174/20200908_HF1_MaRa_SA_P0092_C0038_HCT116_WT_DMSO_IGG_04.raw	1	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	DMSO	WT	mouse IgG control
