source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[treatment]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	factor value[treatment]
GR1C	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Control	1	not available	GR1C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GR1C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Control
GCUR1	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Cu NPs	1	not available	GCUR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GCUR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Cu NPs
NFER1	Triticum aestivum	plant cell	Wounds and injuries	NARC-11 Fe NPs	1	not available	NFER1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	NFER1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NARC-11 Fe NPs
PFER3	Triticum aestivum	plant cell	Wounds and injuries	Pakistan-13 Fe NPs	1	not available	PFER3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	PFER3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Pakistan-13 Fe NPs
GFER3	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Fe NPs	1	not available	GFER3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GFER3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Fe NPs
PR3C	Triticum aestivum	plant cell	Wounds and injuries	Pakistan-13 Control	1	not available	PR3C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	PR3C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Pakistan-13 Control
GFER2	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Fe NPs	1	not available	GFER2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GFER2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Fe NPs
GFER1	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Fe NPs	1	not available	GFER1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GFER1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Fe NPs
NR1C	Triticum aestivum	plant cell	Wounds and injuries	NARC-11 Control	1	not available	NR1C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	NR1C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NARC-11 Control
PFER2	Triticum aestivum	plant cell	Wounds and injuries	Pakistan-13 Fe NPs	1	not available	PFER2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	PFER2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Pakistan-13 Fe NPs
NR2C	Triticum aestivum	plant cell	Wounds and injuries	NARC-11 Control	1	not available	NR2C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	NR2C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NARC-11 Control
PCUR3	Triticum aestivum	plant cell	Wounds and injuries	Pakistan-13 Cu NPs	1	not available	PCUR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	PCUR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Pakistan-13 Cu NPs
PFER1	Triticum aestivum	plant cell	Wounds and injuries	Pakistan-13 Fe NPs	1	not available	PFER1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	PFER1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Pakistan-13 Fe NPs
NCUR1	Triticum aestivum	plant cell	Wounds and injuries	NARC-11 Cu NPs	1	not available	NCUR1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	NCUR1.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NARC-11 Cu NPs
GCUR3	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Cu NPs	1	not available	GCUR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GCUR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Cu NPs
GR3C	Triticum aestivum	plant cell	Wounds and injuries	Galaxy-13 Control	1	not available	GR3C	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	GR3C.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	Galaxy-13 Control
NCUR3	Triticum aestivum	plant cell	Wounds and injuries	NARC-11 Cu NPs	1	not available	NCUR3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	NCUR3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	10 ppm	2 Da	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NARC-11 Cu NPs
