source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
6002	Glycine max	Root	not applicable	Wounds and injuries	1	6002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	6002.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/6002.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
5401	Glycine max	Root	not applicable	Wounds and injuries	1	5401	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5401.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/5401.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p7201	Glycine max	Root	not applicable	Wounds and injuries	1	p7201	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p7201.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p7201.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p5462	Glycine max	Root	not applicable	Wounds and injuries	1	p5462	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p5462.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p5462.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p4803	Glycine max	Root	not applicable	Wounds and injuries	1	p4803	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p4803.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p4803.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p4802	Glycine max	Root	not applicable	Wounds and injuries	1	p4802	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p4802.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p4802.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p60121	Glycine max	Root	not applicable	Wounds and injuries	1	p60121	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p60121.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p60121.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p5402	Glycine max	Root	not applicable	Wounds and injuries	1	p5402	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p5402.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p5402.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p6003	Glycine max	Root	not applicable	Wounds and injuries	1	p6003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p6003.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p6003.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
5102	Glycine max	Root	not applicable	Wounds and injuries	1	5102	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5102.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/5102.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
7204	Glycine max	Root	not applicable	Wounds and injuries	1	7204	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	7204.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/7204.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
5134	Glycine max	Root	not applicable	Wounds and injuries	1	5134	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5134.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/5134.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p60122	Glycine max	Root	not applicable	Wounds and injuries	1	p60122	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p60122.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p60122.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
5104	Glycine max	Root	not applicable	Wounds and injuries	1	5104	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5104.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/5104.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
