source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[viral bait]	factor value[fusion orientation]	factor value[expression mode]	factor value[stimulation]	factor value[sample group]
HEK293 M FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-M_stable_2904_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-M_stable_2904_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-M_stable_2904_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M	FB	stable	not treated	FB-M_stable_2904
HEK293 M FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-M_stable_2904_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-M_stable_2904_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-M_stable_2904_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M	FB	stable	not treated	FB-M_stable_2904
HEK293 M FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-M_stable_PIC_1306_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-M_stable_PIC_1306_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-M_stable_PIC_1306_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M	FB	stable	poly(I:C)	FB-M_stable_PIC_1306
HEK293 M FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-M_stable_PIC_1306_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-M_stable_PIC_1306_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-M_stable_PIC_1306_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M	FB	stable	poly(I:C)	FB-M_stable_PIC_1306
HEK293 M FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-M_stable_PIC_1306_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-M_stable_PIC_1306_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-M_stable_PIC_1306_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M	FB	stable	poly(I:C)	FB-M_stable_PIC_1306
HEK293 NSP10 FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP10_stable_1906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP10_stable_1906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP10_stable_1906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP10	FB	stable	not treated	FB-NSP10_stable_1906
HEK293 NSP10 FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP10_stable_1906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP10_stable_1906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP10_stable_1906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP10	FB	stable	not treated	FB-NSP10_stable_1906
HEK293 NSP10 FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP10_stable_1906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP10_stable_1906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP10_stable_1906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP10	FB	stable	not treated	FB-NSP10_stable_1906
HEK293 NSP10 FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP10_stable_pIC_2906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP10_stable_pIC_2906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP10_stable_pIC_2906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP10	FB	stable	poly(I:C)	FB-NSP10_stable_pIC_2906
HEK293 NSP10 FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP10_stable_pIC_2906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP10_stable_pIC_2906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP10_stable_pIC_2906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP10	FB	stable	poly(I:C)	FB-NSP10_stable_pIC_2906
HEK293 NSP10 FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP10_stable_pIC_2906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP10_stable_pIC_2906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP10_stable_pIC_2906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP10	FB	stable	poly(I:C)	FB-NSP10_stable_pIC_2906
HEK293 NSP12 FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP12_stable_2804_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP12_stable_2804_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP12_stable_2804_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP12	FB	stable	not treated	FB-NSP12_stable_2804
HEK293 NSP12 FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP12_stable_2804_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP12_stable_2804_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP12_stable_2804_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP12	FB	stable	not treated	FB-NSP12_stable_2804
HEK293 NSP12 FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP12_stable_2804_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP12_stable_2804_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP12_stable_2804_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP12	FB	stable	not treated	FB-NSP12_stable_2804
HEK293 NSP12 FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP12_stable_PIC_1306_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP12_stable_PIC_1306_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP12_stable_PIC_1306_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP12	FB	stable	poly(I:C)	FB-NSP12_stable_PIC_1306
HEK293 NSP12 FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP12_stable_PIC_1306_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP12_stable_PIC_1306_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP12_stable_PIC_1306_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP12	FB	stable	poly(I:C)	FB-NSP12_stable_PIC_1306
HEK293 NSP12 FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP12_stable_PIC_1306_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP12_stable_PIC_1306_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP12_stable_PIC_1306_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP12	FB	stable	poly(I:C)	FB-NSP12_stable_PIC_1306
HEK293 NSP13 FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP13_stable_0805_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP13_stable_0805_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP13_stable_0805_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP13	FB	stable	not treated	FB-NSP13_stable_0805
HEK293 NSP13 FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP13_stable_0805_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP13_stable_0805_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP13_stable_0805_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP13	FB	stable	not treated	FB-NSP13_stable_0805
HEK293 NSP13 FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP13_stable_0805_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP13_stable_0805_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP13_stable_0805_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP13	FB	stable	not treated	FB-NSP13_stable_0805
