source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
Kidney_25	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	3	22_0430_005_SSL2_ND_Non_25_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0430_005_SSL2_ND_Non_25_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_26	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	4	22_0430_007_SSL2_ND_Non_26_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0430_007_SSL2_ND_Non_26_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_27	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	NT=acute kidney injury, non-human animal;AC=MONDO:1013530	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	5	22_0430_002_SSL2_ND_Inj_27_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0430_002_SSL2_ND_Inj_27_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=acute kidney injury, non-human animal;AC=MONDO:1013530
Kidney_28	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	NT=acute kidney injury, non-human animal;AC=MONDO:1013530	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	6	22_0430_004_SSL2_ND_Inj_28_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0430_004_SSL2_ND_Inj_28_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=acute kidney injury, non-human animal;AC=MONDO:1013530
Kidney_29	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	NT=acute kidney injury, non-human animal;AC=MONDO:1013530	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	7	22_0430_006_SSL2_ND_Inj_29_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0430_006_SSL2_ND_Inj_29_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=acute kidney injury, non-human animal;AC=MONDO:1013530
Kidney_30	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	NT=acute kidney injury, non-human animal;AC=MONDO:1013530	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	8	22_0430_008_SSL2_ND_Inj_30_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0430_008_SSL2_ND_Inj_30_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=acute kidney injury, non-human animal;AC=MONDO:1013530
Kidney_23	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	1	22_0518_009_SSL2_ND_Non_23_DIA_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0518_009_SSL2_ND_Non_23_DIA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_24	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	2	22_0518_011_SSL2_ND_Non_24_DIA_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0518_011_SSL2_ND_Non_24_DIA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_25	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	3	22_0518_013_SSL2_ND_Non_25_DIA_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0518_013_SSL2_ND_Non_25_DIA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_25	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	3	22_0519_002_SSL2_ND_Non_25_DIA_02	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	2	22_0519_002_SSL2_ND_Non_25_DIA_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_26	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	4	22_0518_015_SSL2_ND_Non_26_DIA_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0518_015_SSL2_ND_Non_26_DIA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal
Kidney_27	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	NT=acute kidney injury, non-human animal;AC=MONDO:1013530	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	5	22_0518_010_SSL2_ND_Non_27_DIA_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0518_010_SSL2_ND_Non_27_DIA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=acute kidney injury, non-human animal;AC=MONDO:1013530
Kidney_28	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	NT=acute kidney injury, non-human animal;AC=MONDO:1013530	NT=adult;AC=EFO:0001272	10 to 14W	male	B6;129SF1/J	tissue	6	22_0518_012_SSL2_ND_Non_28_DIA_01	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=SWATH MS;AC=PRIDE:0000447	NT=ZenoTOF 7600;AC=MS:1003293	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=dithiothreitol;AC=PRIDE:0000608	NT=iodoacetamide;AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	400	1000	not available	1	1	22_0518_012_SSL2_ND_Non_28_DIA_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=acute kidney injury, non-human animal;AC=MONDO:1013530
