source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[growth condition]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[growth condition]
hela_HRM-1h	Homo sapiens	Cell culture	not available	1	HRM-1h	B_D150518_S200-HeLa-HRM-1h_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150518_S200-HeLa-HRM-1h_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HRM-1h
hela_HRM-2h	Homo sapiens	Cell culture	not available	1	HRM-2h	B_D150518_S200-HeLa-HRM-2h_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150518_S200-HeLa-HRM-2h_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HRM-2h
hela_HRM-3h	Homo sapiens	Cell culture	not available	1	HRM-3h	B_D150518_S200-HeLa-HRM-3h_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150518_S200-HeLa-HRM-3h_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HRM-3h
hela_2h	Homo sapiens	Cell culture	not available	1	2h	B_D150708_S206-HeLa-2h-triplicate_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150708_S206-HeLa-2h-triplicate_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2h
hela_2h	Homo sapiens	Cell culture	not available	1	2h	B_D150708_S206-HeLa-2h-triplicate_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D150708_S206-HeLa-2h-triplicate_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2h
hela_2h	Homo sapiens	Cell culture	not available	1	2h	B_D150708_S206-HeLa-2h-triplicate_MHRM_R03_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	B_D150708_S206-HeLa-2h-triplicate_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2h
sample_HeLa-10cm	Homo sapiens	Cell culture	not available	1	10cm	B_D150817_S159-HeLa-10cm_MHRM_R03_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	B_D150817_S159-HeLa-10cm_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	10cm
sample_HeLa-50cm	Homo sapiens	Cell culture	not available	1	50cm	B_D150817_S159-HeLa-50cm_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D150817_S159-HeLa-50cm_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	50cm
sample_HeLa-DrMaisch-20celsius	Homo sapiens	Cell culture	not available	1	DrMaisch-20 C	B_D150817_S159-HeLa-DrMaisch-20celsius_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D150817_S159-HeLa-DrMaisch-20celsius_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DrMaisch-20 C
sample_HeLa-DrMaisch-30celsius	Homo sapiens	Cell culture	not available	1	DrMaisch-30 C	B_D150817_S159-HeLa-DrMaisch-30celsius_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150817_S159-HeLa-DrMaisch-30celsius_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DrMaisch-30 C
sample_HeLa-DrMaisch-40celsius	Homo sapiens	Cell culture	not available	1	DrMaisch-40 C	B_D150817_S159-HeLa-DrMaisch-40celsius_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150817_S159-HeLa-DrMaisch-40celsius_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DrMaisch-40 C
sample_HeLa-DrMaisch-50celsius	Homo sapiens	Cell culture	not available	1	DrMaisch-50 C	B_D150817_S159-HeLa-DrMaisch-50celsius_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150817_S159-HeLa-DrMaisch-50celsius_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DrMaisch-50 C
sample_HeLa-DrMaisch-60celsius	Homo sapiens	Cell culture	not available	1	DrMaisch-60 C	B_D150817_S159-HeLa-DrMaisch-60celsius_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150817_S159-HeLa-DrMaisch-60celsius_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DrMaisch-60 C
hela_HRM-4h	Homo sapiens	Cell culture	not available	1	HRM-4h	B_D150911_S221-HeLa-HRM-4h_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D150911_S221-HeLa-HRM-4h_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HRM-4h
hela_HRM-8h	Homo sapiens	Cell culture	not available	1	HRM-8h	B_D150911_S221-HeLa-HRM-8h_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D150911_S221-HeLa-HRM-8h_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HRM-8h
sample_HeLa-100	Homo sapiens	Cell culture	not available	1	100	B_D151007_S219-HeLa-100_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D151007_S219-HeLa-100_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	100
sample_HeLa-200	Homo sapiens	Cell culture	not available	1	200	B_D151007_S219-HeLa-200_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D151007_S219-HeLa-200_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	200
hela_300	Homo sapiens	Cell culture	not available	1	300	B_D151007_S219-HeLa-300_FA_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151007_S219-HeLa-300_FA_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	300
sample_HeLa-AA	Homo sapiens	Cell culture	not available	1	AA	B_D151007_S219-HeLa-AA_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151007_S219-HeLa-AA_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	AA
sample_HeLa-DMSO	Homo sapiens	Cell culture	not available	1	DMSO	B_D151007_S219-HeLa-DMSO_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151007_S219-HeLa-DMSO_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	DMSO
sample_HeLa-TFA	Homo sapiens	Cell culture	not available	1	TFA	B_D151007_S219-HeLa-TFA_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D151007_S219-HeLa-TFA_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	TFA
sample_HEK	Homo sapiens	Cell culture	not available	1	default	B_D151015_S219-HEK_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151015_S219-HEK_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HEK
sample_Jurkat	Homo sapiens	Cell culture	not available	1	default	B_D151015_S219-Jurkat_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151015_S219-Jurkat_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	Jurkat
sample_HeLa02ug	Homo sapiens	Cell culture	not available	1	default	B_D151020_S219-HeLa02ug_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151020_S219-HeLa02ug_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HeLa02ug
sample_HeLa05ug	Homo sapiens	Cell culture	not available	1	default	B_D151020_S219-HeLa05ug_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151020_S219-HeLa05ug_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HeLa05ug
sample_HeLa1ug	Homo sapiens	Cell culture	not available	1	default	B_D151020_S219-HeLa1ug_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151020_S219-HeLa1ug_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HeLa1ug
sample_HeLa2ug	Homo sapiens	Cell culture	not available	1	default	B_D151020_S219-HeLa2ug_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D151020_S219-HeLa2ug_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	HeLa2ug
sample_HeLa-2h-linear	Homo sapiens	Cell culture	not available	1	2h-linear	B_D160222_S219-HeLa-2h-linear_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	B_D160222_S219-HeLa-2h-linear_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2h-linear
sample_HeLa-2h-linear	Homo sapiens	Cell culture	not available	1	2h-linear	B_D160222_S219-HeLa-2h-linear_MHRM_R02_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	B_D160222_S219-HeLa-2h-linear_MHRM_R02_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2h-linear
sample_HeLa-2h-linear	Homo sapiens	Cell culture	not available	1	2h-linear	B_D160222_S219-HeLa-2h-linear_MHRM_R03_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	B_D160222_S219-HeLa-2h-linear_MHRM_R03_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2h-linear
sgs7	Homo sapiens	Cell culture	not available	1	default	K_D130424_SGS7-R01_MHRM_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	K_D130424_SGS7-R01_MHRM_T0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	default
sgs7	Homo sapiens	Cell culture	not available	1	default	K_D130424_SGS7-R02_MHRM_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	K_D130424_SGS7-R02_MHRM_T0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	default
sgs7	Homo sapiens	Cell culture	not available	1	default	K_D130424_SGS7-R03_MHRM_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	K_D130424_SGS7-R03_MHRM_T0.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	default
