source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[genotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
WT_Oma1_KI_E324A_FSMR	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_Oma1_KI_E324A_FSMR	tissue	6	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_11_Chchd10_KI_S55L_WT_Oma1_KI_E324A_FSMR	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_11_Chchd10_KI_S55L_WT_Oma1_KI_E324A_FSMR.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_Oma1_KI_E324A_T6hp	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_Oma1_KI_E324A_T6hp	tissue	7	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_12_Chchd10_KI_S55L_WT_Oma1_KI_E324A_T6hp	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_12_Chchd10_KI_S55L_WT_Oma1_KI_E324A_T6hp.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_Oma1_KI_E324A_1akj	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_Oma1_KI_E324A_1akj	tissue	8	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_13_Chchd10_KI_S55L_WT_Oma1_KI_E324A_1akj	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_13_Chchd10_KI_S55L_WT_Oma1_KI_E324A_1akj.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_Oma1_KI_E324A_MMTa	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_Oma1_KI_E324A_MMTa	tissue	9	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_14_Chchd10_KI_S55L_WT_Oma1_KI_E324A_MMTa	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_14_Chchd10_KI_S55L_WT_Oma1_KI_E324A_MMTa.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_Oma1_KI_E324A_38qB	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_Oma1_KI_E324A_38qB	tissue	10	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_15_Chchd10_KI_S55L_WT_Oma1_KI_E324A_38qB	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_15_Chchd10_KI_S55L_WT_Oma1_KI_E324A_38qB.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
hetero_Oma1_KI_E324A_LyMT	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_Oma1_KI_E324A_LyMT	tissue	6	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_16_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_LyMT	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_16_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_LyMT.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_Oma1_KI_E324A_hLbp	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_Oma1_KI_E324A_hLbp	tissue	7	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_17_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_hLbp	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_17_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_hLbp.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_Oma1_KI_E324A_5dyw	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_Oma1_KI_E324A_5dyw	tissue	8	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_18_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_5dyw	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_18_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_5dyw.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_Oma1_KI_E324A_UXdL	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_Oma1_KI_E324A_UXdL	tissue	9	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_19_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_UXdL	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_19_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_UXdL.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_Oma1_KI_E324A_1yQR	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_Oma1_KI_E324A_1yQR	tissue	10	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_20_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_1yQR	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_20_Chchd10_KI_S55L_hetero_Oma1_KI_E324A_1yQR.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
