source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[sample preparation]
PXD036023-20220521_Sperm_M-D-R2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	M-D	cell	4	run 20220521_Sperm_M-D-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	2	20220521_Sperm_M-D-R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic medication period sample D
PXD036023-20220521_Sperm_M-D-R3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	M-D	cell	4	run 20220521_Sperm_M-D-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	3	20220521_Sperm_M-D-R3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic medication period sample D
PXD036023-20220521_Sperm_M-E-R1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	M-E	cell	5	run 20220521_Sperm_M-E-R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20220521_Sperm_M-E-R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic medication period sample E
PXD036023-20220521_Sperm_M-E-R2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	M-E	cell	5	run 20220521_Sperm_M-E-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	2	20220521_Sperm_M-E-R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic medication period sample E
PXD036023-20220521_Sperm_M-E-R3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	M-E	cell	5	run 20220521_Sperm_M-E-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	3	20220521_Sperm_M-E-R3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic medication period sample E
PXD036023-20220521_Sperm_W-F-R1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-F	cell	1	run 20220521_Sperm_W-F-R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20220521_Sperm_W-F-R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample F
PXD036023-20220521_Sperm_W-F-R2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-F	cell	1	run 20220521_Sperm_W-F-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	2	20220521_Sperm_W-F-R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample F
PXD036023-20220521_Sperm_W-F-R3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-F	cell	1	run 20220521_Sperm_W-F-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	3	20220521_Sperm_W-F-R3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample F
PXD036023-20220521_Sperm_W-G-R1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-G	cell	2	run 20220521_Sperm_W-G-R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20220521_Sperm_W-G-R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample G
PXD036023-20220521_Sperm_W-G-R2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-G	cell	2	run 20220521_Sperm_W-G-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	2	20220521_Sperm_W-G-R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample G
PXD036023-20220521_Sperm_W-G-R3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-G	cell	2	run 20220521_Sperm_W-G-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	3	20220521_Sperm_W-G-R3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample G
PXD036023-20220521_Sperm_W-H-R1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-H	cell	3	run 20220521_Sperm_W-H-R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20220521_Sperm_W-H-R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample H
PXD036023-20220521_Sperm_W-H-R2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-H	cell	3	run 20220521_Sperm_W-H-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	2	20220521_Sperm_W-H-R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample H
PXD036023-20220521_Sperm_W-H-R3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-H	cell	3	run 20220521_Sperm_W-H-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	3	20220521_Sperm_W-H-R3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample H
PXD036023-20220521_Sperm_W-I-R1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-I	cell	4	run 20220521_Sperm_W-I-R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20220521_Sperm_W-I-R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample I
PXD036023-20220521_Sperm_W-I-R2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-I	cell	4	run 20220521_Sperm_W-I-R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	2	20220521_Sperm_W-I-R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample I
PXD036023-20220521_Sperm_W-I-R3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-I	cell	4	run 20220521_Sperm_W-I-R3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	3	20220521_Sperm_W-I-R3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample I
PXD036023-20220521_Sperm_W-J-R1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	W-J	cell	5	run 20220521_Sperm_W-J-R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	1	1	20220521_Sperm_W-J-R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	antibiotic withdrawal period sample J
