source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
0089-120719MaRiS01Tscx04pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120719MaRiS01Tscx04pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120719MaRiS01Tscx04pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx04pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_03	Mus musculus	Renal glomerulus	not applicable	not available	3	20130113_MK_Rinschen_120719_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120719_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_06	Mus musculus	Renal glomerulus	not applicable	not available	6	20130113_MK_Rinschen_120823_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120823_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx05pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120823MaRiS01Tscx05pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120823MaRiS01Tscx05pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx05pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_01	Mus musculus	Renal glomerulus	not applicable	not available	1	20130113_MK_Rinschen_120823_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120823_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_05	Mus musculus	Renal glomerulus	not applicable	not available	5	20130113_MK_Rinschen_120823_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120823_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx05pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120719MaRiS01Tscx05pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120719MaRiS01Tscx05pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx05pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_08	Mus musculus	Renal glomerulus	not applicable	not available	8	20130113_MK_Rinschen_120823_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120823_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx03pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120823MaRiS01Tscx03pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120823MaRiS01Tscx03pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx03pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx06pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120719MaRiS01Tscx06pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120719MaRiS01Tscx06pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx06pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx04pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120823MaRiS01Tscx04pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120823MaRiS01Tscx04pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx04pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120823_07	Mus musculus	Renal glomerulus	not applicable	not available	7	20130113_MK_Rinschen_120823_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120823_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120823_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_08	Mus musculus	Renal glomerulus	not applicable	not available	8	20130113_MK_Rinschen_120719_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120719_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx02pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120823MaRiS01Tscx02pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120823MaRiS01Tscx02pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx02pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120823MaRiS01Tscx07pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120823MaRiS01Tscx07pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120823MaRiS01Tscx07pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120823MaRiS01Tscx07pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_05	Mus musculus	Renal glomerulus	not applicable	not available	5	20130113_MK_Rinschen_120719_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120719_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx10pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120719MaRiS01Tscx10pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120719MaRiS01Tscx10pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx10pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
0089-120719MaRiS01Tscx03pD	Mus musculus	Renal glomerulus	not applicable	not available	1	0089-120719MaRiS01Tscx03pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	0089-120719MaRiS01Tscx03pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/0089-120719MaRiS01Tscx03pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
20130113_MK_Rinschen_120719_04	Mus musculus	Renal glomerulus	not applicable	not available	4	20130113_MK_Rinschen_120719_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20130113_MK_Rinschen_120719_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD000266/20130113_MK_Rinschen_120719_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Renal glomerulus
