source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
yeast1_scx05	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx03	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx06	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx02_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx02_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx02_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx02_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx06_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx06_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx06_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx06_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx09_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx09_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx09_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx09_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx10_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx10_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx10_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx10_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx11	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx11_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx11_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx11_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx11_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx07_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx07_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx07_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx07_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx10	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx04	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx08_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx08_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx08_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx08_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx03_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx03_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx03_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx03_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
