source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_26_27	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	27	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_26_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_26_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_26_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_98	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	98	IMAC_Tio2_FT_15min_postIR_SCX_98	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_98.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_98.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_32	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	32	IMAC_Tio2_FT_15min_postIR_SCX_32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_93	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	93	IMAC_TiO2_eluate_15min_postIR_SCX_93	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_93.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_93.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_56	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	56	IMAC_Tio2_FT_15min_postIR_SCX_56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_82_83	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	83	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_82_83	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_82_83.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_82_83.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_16	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	16	IMAC_Tio2_FT_15min_postIR_SCX_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_48	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	48	IMAC_Tio2_FT_15min_postIR_SCX_48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_91	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	91	IMAC_Tio2_FT_15min_postIR_SCX_91	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_91.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_91.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_43	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	43	IMAC_Tio2_FT_15min_postIR_SCX_43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
